C:\Program Files\MariaDB 12.3\bin\mariadbd.exe, Version: 12.3.2-MariaDB (MariaDB Server). started with:
TCP Port: 3306, Named Pipe: MySQL
Time		    Id Command	Argument
		  6905 Prepare	UPDATE `spire_server_database_connections` SET `name`=?,`db_host`=?,`db_port`=?,`db_name`=?,`db_username`=?,`db_password`=?,`content_db_host`=?,`content_db_port`=?,`content_db_name`=?,`content_db_username`=?,`content_db_password`=?,`logs_db_host`=?,`logs_db_port`=?,`logs_db_name`=?,`logs_db_username`=?,`logs_db_password`=?,`discord_webhook_url`=?,`created_from_ip`=?,`created_by`=?,`created_at`=?,`updated_at`=?,`deleted_at`=? WHERE `id` = ?
		  6905 Execute	UPDATE `spire_server_database_connections` SET `name`='Triptych Triumvate',`db_host`='127.0.0.1',`db_port`='3306',`db_name`='peq',`db_username`='root',`db_password`='8ee9ceeb97f8284b74bf06b3c93f72a4be42b390db2dfa0291a7d3558d8b5fcb',`content_db_host`='',`content_db_port`='',`content_db_name`='',`content_db_username`='',`content_db_password`='',`logs_db_host`='127.0.0.1',`logs_db_port`='3306',`logs_db_name`='peq',`logs_db_username`='root',`logs_db_password`='0db0cbf9615204f963d6b861a4ce39171c813fb3a14da3df5eae2ba8a8846f5a',`discord_webhook_url`='https://discord.com/api/webhooks/1379978273743835197/R225jR7FUrttSFVyMXoZC_6vx9ApX6h_CzDt0QvMcoMESqDvTbyr1qpZXgojEMXweyUF',`created_from_ip`='127.0.0.1',`created_by`=1,`created_at`='2025-01-29 15:30:47.758',`updated_at`='2026-08-22 14:47:10.544',`deleted_at`=NULL WHERE `id` = 1
		  6905 Close stmt	
		  6905 Query	SELECT * FROM `zone`
260822 14:47:11	  6905 Prepare	SELECT * FROM `spire_user_server_database_connections` WHERE user_id = ?
		  6905 Execute	SELECT * FROM `spire_user_server_database_connections` WHERE user_id = 0
		  6905 Close stmt	
260822 14:47:12	  6905 Prepare	SELECT * FROM `spire_user_server_database_connections` WHERE user_id = ?
		  6905 Execute	SELECT * FROM `spire_user_server_database_connections` WHERE user_id = 0
		  6905 Close stmt	
260822 14:47:23	  6905 Query	SELECT
		  TABLE_NAME,
		  COLUMN_NAME,
		  DATA_TYPE,
		  COLUMN_KEY,
		  ORDINAL_POSITION,
		  IS_NULLABLE,
		  COLUMN_TYPE,
		  COLUMN_DEFAULT
		FROM
		  INFORMATION_SCHEMA.COLUMNS
		WHERE
		  TABLE_NAME = 'spells_new'
		  AND TABLE_SCHEMA = 'peq'
		ORDER BY ORDINAL_POSITION
		  6906 Connect	eqemu@localhost on peq using TCP/IP
		  6906 Query	SET NAMES utf8mb4
		  6906 Prepare	SELECT * FROM `db_str` WHERE type = ? LIMIT 1000
		  6906 Execute	SELECT * FROM `db_str` WHERE type = '6' LIMIT 1000
		  6906 Close stmt	
260822 14:47:29	  6906 Prepare	SELECT * FROM `spells_new` WHERE name like ? LIMIT 100
		  6905 Prepare	SELECT * FROM `spells_new` WHERE name like ? LIMIT 100
		  6905 Execute	SELECT * FROM `spells_new` WHERE name like '%breath of o%' LIMIT 100
		  6906 Execute	SELECT * FROM `spells_new` WHERE name like '%breath of o%' LIMIT 100
		  6906 Close stmt	
		  6905 Close stmt	
260822 14:47:34	  6905 Prepare	SELECT * FROM `db_str` WHERE type = ? LIMIT 100000
		  6905 Execute	SELECT * FROM `db_str` WHERE type = '5' LIMIT 100000
		  6906 Prepare	SELECT * FROM `spells_new` WHERE id = ? ORDER BY `spells_new`.`id` LIMIT 1
		  6906 Execute	SELECT * FROM `spells_new` WHERE id = 11142 ORDER BY `spells_new`.`id` LIMIT 1
		  6906 Close stmt	
		  6905 Close stmt	
260822 14:48:34	  6905 Prepare	SELECT * FROM `spells_new` WHERE id = ? ORDER BY `spells_new`.`id` LIMIT 1
		  6905 Execute	SELECT * FROM `spells_new` WHERE id = 11142 ORDER BY `spells_new`.`id` LIMIT 1
		  6905 Close stmt	
		  6905 Prepare	UPDATE `spells_new` SET `spell_category`=? WHERE id = ? AND `id` = ? ORDER BY `spells_new`.`id` LIMIT 1
		  6905 Execute	UPDATE `spells_new` SET `spell_category`=999 WHERE id = 11142 AND `id` = 11142 ORDER BY `spells_new`.`id` LIMIT 1
		  6905 Close stmt	
260822 14:49:24	  6905 Prepare	SELECT * FROM `spells_new` WHERE id = ? ORDER BY `spells_new`.`id` LIMIT 1
		  6905 Execute	SELECT * FROM `spells_new` WHERE id = 11142 ORDER BY `spells_new`.`id` LIMIT 1
		  6905 Close stmt	
		  6905 Prepare	UPDATE `spells_new` SET `npc_no_los`=?,`targettype`=? WHERE id = ? AND `id` = ? ORDER BY `spells_new`.`id` LIMIT 1
		  6905 Execute	UPDATE `spells_new` SET `npc_no_los`=1,`targettype`=44 WHERE id = 11142 AND `id` = 11142 ORDER BY `spells_new`.`id` LIMIT 1
		  6905 Close stmt	
260822 14:49:54	  6905 Prepare	SELECT * FROM `spells_new` WHERE id = ? ORDER BY `spells_new`.`id` LIMIT 1
		  6905 Execute	SELECT * FROM `spells_new` WHERE id = 11142 ORDER BY `spells_new`.`id` LIMIT 1
		  6905 Close stmt	
260822 14:50:10	  6904 Quit	
		  6905 Quit	
260822 14:50:17	  6906 Query	SELECT id FROM spells_new ORDER BY id
		  6907 Connect	eqemu@localhost on peq using TCP/IP
		  6907 Query	SET NAMES utf8mb4
		  6907 Query	select id, name from spells_new where name like '%placeholder%' or name like '% reserved%' order by id
260822 14:50:23	  6906 Quit	
260822 14:53:17	  6907 Quit	
260822 14:55:09	  6908 Connect	eqemu@localhost on  using SSL/TLS
		  6908 Query	SELECT DATABASE()
		  6908 Init DB	peq
		  6908 Query	SELECT id,name,targettype,npc_no_los,spell_category FROM spells_new WHERE id=11142
		  6908 Query	SHOW DATABASES
		  6908 Quit	
260822 15:11:11	  6909 Connect	eqemu@localhost on peq using TCP/IP
		  6910 Connect	eqemu@localhost on peq using TCP/IP
		  6910 Query	SET NAMES utf8mb4
		  6909 Query	SET NAMES utf8mb4
		  6910 Prepare	SELECT * FROM `db_str` WHERE type = ? LIMIT 100000
		  6909 Prepare	SELECT * FROM `spire_user_server_database_connections` WHERE user_id = ?
		  6910 Execute	SELECT * FROM `db_str` WHERE type = '5' LIMIT 100000
		  6909 Execute	SELECT * FROM `spire_user_server_database_connections` WHERE user_id = 0
		  6909 Close stmt	
		  6909 Prepare	SELECT * FROM `spells_new` WHERE id = ? ORDER BY `spells_new`.`id` LIMIT 1
		  6909 Execute	SELECT * FROM `spells_new` WHERE id = 11142 ORDER BY `spells_new`.`id` LIMIT 1
		  6909 Close stmt	
		  6910 Close stmt	
		  6910 Prepare	SELECT * FROM `db_str` WHERE type = ? AND id = ? LIMIT 1000
		  6910 Execute	SELECT * FROM `db_str` WHERE type = '6' AND id = '11142' LIMIT 1000
		  6910 Close stmt	
260822 15:13:15	  6911 Connect	root@localhost on  using SSL/TLS
		  6911 Query	SET GLOBAL general_log='OFF'
